OBJECTID,GEOID_20,Land Acres,Water Acres,Census Tract Number,Census Block Group,Census Tract and Block Group,Block Group Name,Census Tract Label,Council District,Comprehensive Plan Growth Area,Comprehensive Plan Area Name,ACS Vinatage,Total Population,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),People of Color,Total Households,Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Total Housing Units,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Owner Households,Renter Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,Meidan Gross Rent,Median Selected Monthly Owner Costs for Households with a Mortgage,Per Capita Income,Median Household Income,Median Earnings Males Worked full-time year-round,Median Earnings Females Worked full-time year-round,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more",Median Family Household Income,Median Nonfamily Household Income,Median Earnings All Workers,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,Neighborhood Subtype,Council District Type,Urban Center Village Type,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Shape__Area,Shape__Length
132,530330072023,29.7766927,0,7202,3,7202.3,Block Group 3,72.02,7,413,Downtown,5Y23,1555,26,26,55,29.6,850,705,661,0,0,679,0,20,40,155,894,854,226,628,346,18,933,1164,471,15,157,347,225,312,136,6,0,14,960,76,0,81,803,91,243,328,249,34,0,0,1450,79,1555,18,1529,717,100,40,0,0,40,0,121,733,221,121,30,1261,1397,483,213,1184,2706,3812,126453,170300,167652,139732,654,226,428,250000+,155078,123952,929,100,114,21,0,30,58,1474,158,1529,248,1281,117,1476,174,121,25,0,0,0,1156,226,0,0,0,0,0,1395,295,81,1113,Urban Center,CD,UCUV,507,432,1377,766,611,1297017.39447021,5000.57042312927
133,530330076001,42.16457969,0,7600,1,7600.1,Block Group 1,76,3,131,Madison-Miller,5Y23,1141,60,146,82,33,539,602,906,0,0,133,0,0,36,66,235,574,200,374,239,13,877,860,313,160,145,87,210,139,78,81,0,39,574,176,60,338,0,12,114,182,73,103,69,33,995,149,1141,14,1081,105,0,0,0,0,0,0,162,412,187,114,4,937,1093,560,463,630,1844,2848,79338,105776,-,74750,320,184,124,-,75750,68967,516,122,222,0,0,102,28,913,48,995,97,898,38,1141,0,0,13,0,0,14,1114,200,0,0,0,0,0,913,0,0,837,Residential Urban Village,CD,UCUV,281,365,898,407,491,1836608.23065186,6502.16283298415
134,530330077001,97.71362237,0,7700,1,7700.1,Block Group 1,77,3,0,Outside Villages,5Y23,1821,95,446,75,34.1,854,967,1159,165,15,165,0,59,243,15,662,664,453,211,105,0,939,1078,302,557,11,18,130,352,190,104,0,0,664,611,38,0,15,0,0,31,145,217,240,31,1375,61,1821,121,1726,228,70,21,0,0,21,0,435,229,122,230,18,1349,1821,1420,1150,671,3000,4001,95657,193490,124605,105625,488,331,157,225990,187986,89081,678,115,187,14,84,263,90,1300,0,1475,314,1161,83,1821,28,0,0,0,389,0,1404,453,0,0,0,0,0,1300,28,0,1063,Outside Villages,CD,UCUV,391,373,1234,636,598,4256214.16387939,11335.943209399
135,530330080041,9.10706884,0,8004,1,8004.1,Block Group 1,80.04,7,413,Downtown,5Y23,1329,0,21,86,37.3,609,720,818,66,0,297,0,0,127,21,511,921,287,634,547,0,1035,1037,498,215,0,176,217,260,42,0,20,0,921,50,0,159,712,0,145,498,228,27,23,0,1308,37,1329,0,1329,323,73,73,0,0,73,0,422,499,87,357,124,1287,1329,604,603,726,2615,3344,146934,202335,190500,157813,677,257,420,201710,240227,177629,766,46,144,21,60,27,86,1222,0,1308,195,1113,76,1329,20,67,0,17,0,0,1225,287,0,0,0,0,0,1222,87,67,1037,Urban Center,CD,UCUV,522,380,1113,552,561,396678.942932129,3107.91362331243
136,530330080042,12.74841374,0,8004,2,8004.2,Block Group 2,80.04,7,413,Downtown,5Y23,713,0,0,135,50.1,324,389,648,0,0,53,0,0,12,0,65,585,138,447,447,0,646,541,365,88,0,155,18,73,85,0,0,0,666,0,0,36,630,0,199,228,158,0,0,0,713,61,713,0,713,104,56,23,0,23,0,0,259,326,161,143,15,713,713,266,356,357,2569,3077,137868,-,186346,-,317,115,202,250000+,-,143922,512,18,11,0,0,0,118,578,0,713,172,541,0,713,48,60,0,0,0,0,605,138,0,0,0,0,0,578,108,108,485,Urban Center,CD,UCUV,196,159,541,267,274,555306.940093994,3037.89648297168
137,530330080043,48.47713376,130.16696056,8004,3,8004.3,Block Group 3,80.04,7,413,Downtown,5Y23,982,0,31,0,31.5,663,319,295,0,0,379,0,0,291,17,687,646,231,415,357,0,829,910,693,53,37,237,86,64,30,0,37,0,822,0,50,187,585,0,168,202,215,28,0,33,951,33,982,94,982,566,133,22,0,22,0,0,103,543,106,58,0,951,982,476,185,797,2221,-,133290,183833,151615,182633,529,198,331,250000+,153712,152344,714,13,159,0,24,33,0,951,0,951,41,910,0,982,18,0,0,40,0,0,924,231,0,0,0,0,0,951,18,0,910,Urban Center,CD,UCUV,512,169,933,663,270,1956349.98745728,14957.7755730492
138,530330081011,24.36014273,0,8101,1,8101.1,Block Group 1,81.01,7,413,Downtown,5Y23,873,23,23,328,63.1,355,518,434,101,14,163,0,0,17,144,439,682,92,590,573,150,311,375,112,111,21,476,58,115,90,0,0,0,682,39,0,173,470,37,239,331,73,22,17,0,850,227,873,0,850,277,137,48,0,0,37,11,101,581,288,81,8,850,873,264,166,707,-,-,64996,45446,92026,153274,190,55,135,-,36944,96188,338,21,38,0,0,17,240,522,0,850,442,408,11,873,123,184,45,33,11,0,477,92,37,0,37,0,0,522,142,0,357,Urban Center,CD,UCUV,163,204,397,171,226,1061110.19485474,5089.13825435411
139,530330081021,64.3109053,0,8102,1,8102.1,Block Group 1,81.02,7,413,Downtown,5Y23,2000,34,76,133,33.5,1096,904,972,134,0,702,0,0,71,121,1028,1335,423,912,716,4,1453,1587,641,154,454,740,239,287,331,52,37,0,1485,0,0,185,1300,181,649,409,277,0,0,0,1861,65,1937,85,1966,589,23,22,0,0,22,0,150,1185,427,107,39,1648,1982,869,262,1720,2734,4001,125434,153777,159444,153128,910,365,545,176397,153174,141491,1206,138,212,21,39,87,86,1791,18,1924,263,1616,0,1982,56,17,0,0,15,0,1894,423,0,0,0,0,0,1786,73,33,1592,Urban Center,CD,UCUV,890,480,1689,1001,688,2801291.55429077,7690.33860293338
140,530330093002,551.32546561,94.97421211,9300,2,9300.2,Block Group 2,93,1,413,Downtown,5Y23,1347,28,36,162,35.6,819,528,848,177,7,92,16,0,69,138,499,697,180,517,460,42,576,1028,290,350,124,248,275,233,146,34,50,0,932,43,16,13,860,65,459,128,80,8,16,6,1117,137,1153,129,1319,198,88,48,0,0,48,0,104,593,213,87,12,1182,974,398,193,781,2339,3311,79985,130321,76705,99583,444,163,281,200234,112589,72832,587,106,82,27,32,23,60,1149,373,1311,214,903,69,1166,95,105,24,45,24,7,866,180,7,0,0,7,0,968,146,78,785,Urban Center,CD,UCUV,411,323,1117,687,430,24393626.9521179,27137.6281212615
141,530330095002,191.25116379,0,9500,2,9500.2,Block Group 2,95,2,305,Mt Baker,5Y23,1909,141,293,152,36.7,1221,688,769,132,0,793,0,0,152,63,1140,844,404,440,280,16,1069,1291,407,543,66,211,100,521,193,52,0,18,844,439,208,142,55,31,66,149,247,269,66,47,1616,231,1909,28,1768,562,109,69,0,0,69,0,387,457,161,315,114,1525,1880,1105,986,894,1967,3193,86622,161019,112344,120435,543,332,211,163958,-,84958,890,86,224,18,73,260,72,1464,29,1634,298,1336,45,1909,102,62,0,34,0,33,1678,404,41,0,12,0,29,1464,139,0,1233,Hub Urban Village,CD,UCUV,739,320,1322,902,420,8330587.73251343,12931.9278169119
142,530330095004,113.11026449,0,9500,4,9500.4,Block Group 4,95,2,305,Mt Baker,5Y23,2745,172,779,327,36.8,1542,1203,529,997,0,483,0,51,296,389,2216,1043,677,366,250,396,760,1401,327,611,266,157,167,428,326,84,69,0,1069,436,201,395,37,76,111,155,251,318,191,17,1966,199,2745,396,2573,943,471,160,60,0,100,0,380,663,386,214,75,1878,2745,2189,1017,1728,1808,4001,64021,63862,63766,81645,349,326,23,-,62532,58113,716,289,125,49,222,371,232,1639,0,2034,595,1439,38,2745,150,367,164,24,145,35,1860,677,153,0,18,53,82,1617,277,260,1370,Hub Urban Village,CD,UCUV,444,326,1457,797,660,4926930.85108948,10617.2850173807
143,530330098023,67.2860541,0,9802,3,9802.3,Block Group 3,98.02,1,0,Outside Villages,5Y23,1765,339,438,115,34,801,964,1422,20,0,151,0,0,58,114,343,645,456,189,181,43,811,975,256,491,156,36,94,178,212,72,155,8,677,303,101,273,0,96,19,231,162,107,126,0,1327,78,1765,75,1426,432,163,0,0,0,0,0,283,362,189,204,35,1237,1762,1563,751,1011,1881,4001,56156,120545,117692,-,343,283,60,-,-,0,573,327,74,0,17,230,96,1212,3,1352,281,1071,80,1765,31,23,26,19,59,499,1108,456,11,0,11,0,0,1180,26,14,960,Outside Villages,CD,UCUV,353,135,1083,610,473,2930904.64089966,7304.44258634032
144,530330102004,96.12152239,0,10200,4,10200.4,Block Group 4,102,2,0,Outside Villages,5Y23,1059,90,267,179,40,528,531,680,48,0,119,0,0,184,28,379,417,296,121,99,61,511,564,144,264,104,13,7,136,174,95,8,0,417,399,7,11,0,12,28,25,105,164,66,29,792,103,1059,0,969,160,51,13,13,0,0,0,379,38,0,292,67,775,1045,901,931,114,2333,2926,71975,162969,153095,93224,284,239,45,179091,92961,94868,471,32,8,0,61,146,149,613,14,828,256,572,0,1059,0,25,57,3,13,29,932,296,0,0,0,0,0,613,12,8,555,Outside Villages,CD,UCUV,269,213,572,301,271,4186969.7180481,9895.63202361821
145,530330105024,24.9371338,0,10502,4,10502.4,Block Group 4,105.02,1,205,West Seattle Junction,5Y23,1546,0,106,77,39.1,821,725,1211,89,0,68,0,0,56,122,335,1060,242,818,593,25,972,1296,363,411,313,238,222,139,408,128,36,0,1250,26,16,215,993,50,266,498,254,42,0,0,1423,288,1529,0,1546,132,22,0,0,0,0,0,109,951,302,87,0,1359,1529,492,158,1371,2172,1931,92168,125292,104383,84556,586,222,364,153761,86293,84691,936,69,211,33,47,142,60,1363,17,1452,156,1296,0,1529,39,100,0,0,76,0,1314,242,0,0,0,0,0,1363,114,114,1265,Hub Urban Village,CD,UCUV,583,394,1296,727,569,1086226.59991455,5280.37341074678
146,530330106021,111.57401033,0,10602,1,10602.1,Block Group 1,106.02,1,206,Morgan Junction,5Y23,1543,94,280,109,39.7,814,729,1302,0,0,21,0,5,79,136,241,769,265,504,300,32,751,934,316,423,150,141,73,149,216,103,77,0,830,461,51,318,0,0,109,113,236,224,68,19,1263,107,1543,126,1449,83,14,12,0,12,0,0,357,412,232,334,34,1237,1532,826,876,656,1814,3297,68239,102587,122739,90000,386,218,168,195707,95379,68472,457,165,254,32,30,175,83,1154,11,1285,222,1063,125,1543,34,217,0,11,59,0,1222,265,0,0,0,0,0,1146,248,135,913,Residential Urban Village,CD,UCUV,350,289,1093,613,480,4860071.78924561,9606.50974832591
147,530330107011,124.78994745,0.90539412,10701,1,10701.1,Block Group 1,107.01,1,0,Outside Villages,5Y23,1953,97,362,128,40.2,1007,946,803,517,17,95,0,36,218,267,1150,923,408,515,336,88,660,1046,308,340,242,139,56,188,281,95,106,12,931,237,423,176,95,4,16,117,453,224,82,31,1553,131,1915,5,1856,304,172,75,0,0,0,75,405,518,263,341,68,1565,1915,1151,882,1033,1752,3049,57953,100625,103725,78864,464,252,203,145242,81719,92813,575,212,82,48,129,185,124,1463,38,1676,604,1072,26,1915,179,50,78,18,176,46,1368,408,16,4,0,12,0,1420,113,25,1022,Outside Villages,CD,UCUV,517,243,1090,631,459,5475199.55430603,11289.1994537449
148,530330108001,682.90809289,79.72435059,10800,1,10800.1,Block Group 1,108,1,0,Outside Villages,5Y23,1514,89,207,149,39.8,795,719,970,118,1,161,0,0,93,171,544,628,365,263,102,13,595,986,147,749,75,30,220,311,137,157,5,9,628,564,16,48,0,0,0,54,238,249,44,43,1300,88,1507,7,1425,283,46,0,0,0,0,0,533,95,27,341,114,1178,1498,1052,1290,208,2207,2606,74701,139423,81656,62404,416,210,156,124792,147828,60625,430,173,300,24,72,115,93,1158,16,1312,286,1026,27,1507,31,12,0,2,57,24,1381,365,0,0,0,0,0,1142,32,10,969,Outside Villages,CD,UCUV,430,274,1077,614,463,28685541.6959381,31212.8070830681
149,530330110021,272.20560496,0,11002,1,11002.1,Block Group 1,110.02,2,0,Outside Villages,5Y23,1167,0,193,266,47,682,485,130,46,0,865,0,0,53,73,1037,379,253,126,109,170,177,551,89,327,54,26,27,169,125,141,0,0,379,336,43,0,0,41,0,0,47,160,140,32,974,126,1167,166,1167,707,519,83,0,0,83,0,311,68,43,155,68,877,1167,1023,1016,151,2105,2438,37481,90669,53778,70769,158,158,0,115536,56389,46129,156,207,106,47,98,101,166,708,0,1008,380,628,14,1167,68,13,145,16,116,0,809,253,25,0,25,0,0,655,33,5,549,Outside Villages,CD,UCUV,223,80,712,454,258,11857028.5383911,20696.8870264404
150,530330111011,70.98571587,0,11101,1,11101.1,Block Group 1,111.01,2,123,Othello,5Y23,1325,108,169,104,39.7,590,735,547,83,0,360,64,27,84,160,778,527,311,216,73,140,445,980,192,510,154,0,119,318,224,77,50,0,717,302,0,87,328,29,59,63,148,77,38,142,1156,115,1325,108,1217,465,247,19,0,0,19,0,187,340,157,162,21,981,1323,952,482,841,2133,2337,59607,135317,60483,57175,331,209,122,-,135522,55200,375,279,168,57,141,120,78,1052,2,1161,141,1020,0,1301,33,0,0,0,0,0,1268,311,0,0,0,0,0,1004,33,31,965,Residential Urban Village,CD,UCUV,262,321,1020,512,508,3092081.55992126,9525.63750311734
151,530330113005,71.89209841,0,11300,5,11300.5,Block Group 5,113,1,0,Outside Villages,5Y23,664,17,116,35,39.4,330,334,517,0,0,98,0,0,34,15,147,306,220,86,72,1,382,417,137,200,49,0,31,66,119,15,49,0,360,321,14,25,0,0,0,50,37,219,0,0,543,0,659,14,647,76,18,0,0,0,0,0,264,42,17,238,31,523,659,559,571,88,1625,3076,90748,179000,131417,85234,218,186,32,190893,87885,108875,299,47,71,0,0,70,30,513,5,548,101,447,30,659,0,0,0,0,48,0,611,220,0,0,0,0,0,496,0,0,400,Outside Villages,CD,UCUV,228,144,475,270,205,3131572.90022278,7214.73186767659
152,530330114021,107.05766527,0,11402,1,11402.1,Block Group 1,114.02,1,127,Westwood-Highland Park,5Y23,1410,117,232,161,36.4,712,698,623,103,0,102,0,0,172,410,787,649,416,233,189,57,334,1039,124,632,164,85,179,393,120,201,11,11,649,278,78,202,91,0,18,50,369,157,55,0,1178,186,1410,193,1293,443,252,87,43,0,44,0,358,291,77,241,96,1066,1405,1112,637,768,1697,2470,57713,108101,73256,50375,349,190,93,94082,73750,53854,388,255,197,98,108,199,97,1017,5,1217,166,1051,5,1410,0,5,21,59,21,7,1297,416,0,0,0,0,0,1017,5,0,973,Residential Urban Village,CD,UCUV,339,214,1051,519,532,4663363.29045105,10700.8107650777
153,530330114023,106.7515017,0,11402,3,11402.3,Block Group 3,114.02,1,127,Westwood-Highland Park,5Y23,1243,85,251,256,45.3,582,661,560,71,0,312,7,6,106,181,683,564,275,289,205,78,405,692,241,298,61,93,122,215,31,72,11,0,673,458,15,147,53,0,11,64,173,191,90,35,992,250,1243,21,1158,469,256,41,0,0,31,10,369,195,88,296,118,927,1243,870,932,311,-,2858,51875,76154,65536,65250,253,146,107,103917,51250,52193,353,144,75,33,98,147,217,736,0,1044,312,732,29,1243,14,65,135,0,29,20,980,275,0,0,0,0,0,718,29,15,662,Residential Urban Village,CD,UCUV,191,233,748,327,421,4650034.50134277,9711.27330737389
154,530330116022,80.69942842,0,11602,2,11602.2,Block Group 2,116.02,1,0,Outside Villages,5Y23,1440,129,436,122,38.2,708,732,1302,0,0,72,0,0,31,35,138,484,382,102,85,48,776,752,264,361,44,0,31,185,204,45,23,0,484,484,0,0,0,0,0,17,72,148,202,45,1004,33,1440,0,1311,206,23,0,0,0,0,0,465,19,0,359,36,1004,1440,1323,1401,39,-,2918,74610,161250,132222,91845,415,345,70,153409,169688,80139,442,191,125,0,9,215,106,882,0,1037,270,767,0,1440,7,0,0,0,0,0,1433,382,0,0,0,0,0,882,0,0,742,Outside Villages,CD,UCUV,280,232,767,298,469,3515188.56088257,8147.94513199467
155,530330117002,395.80623421,0,11700,2,11700.2,Block Group 2,117,2,0,Outside Villages,5Y23,1141,11,220,274,45,580,561,242,63,52,524,0,5,56,199,899,400,222,178,132,150,198,577,72,354,100,34,77,163,163,86,16,0,411,392,0,9,10,0,0,27,111,162,23,77,921,169,1141,57,1130,620,268,68,0,0,68,0,276,124,59,150,53,844,1089,852,814,275,2080,2311,45440,77273,79938,73092,138,98,31,90921,-,55313,306,123,60,75,13,126,141,647,52,921,329,592,15,1141,36,107,26,8,130,33,801,222,27,9,10,8,0,632,36,16,565,Outside Villages,CD,UCUV,157,163,613,304,309,17241115.0539246,24877.8499260088
156,530330117004,211.85159814,0,11700,4,11700.4,Block Group 4,117,2,0,Outside Villages,5Y23,1488,44,246,224,36.2,647,841,231,257,0,856,0,32,45,67,1257,346,271,75,36,389,333,814,218,353,169,0,9,212,160,93,84,38,354,332,9,0,13,22,9,13,44,62,140,78,1242,255,1488,30,1444,781,441,92,0,0,92,0,337,9,0,270,162,1161,1488,1300,1479,9,-,3112,37803,128667,52439,52171,180,141,39,100764,-,35417,348,164,111,18,237,130,148,1018,0,1365,472,893,15,1475,44,69,0,21,209,0,1132,271,0,0,0,0,0,980,76,32,784,Outside Villages,CD,UCUV,163,187,1034,462,572,9228186.02587891,16326.496596435
157,530330119011,179.9609189,0,11901,1,11901.1,Block Group 1,119.01,2,0,Outside Villages,5Y23,1623,80,193,457,40.1,795,828,661,117,0,378,0,80,178,209,962,471,313,158,53,91,442,694,112,331,45,22,99,302,106,45,30,0,488,475,13,0,0,0,0,0,247,67,72,85,1430,290,1623,56,1543,310,184,21,0,0,21,0,387,84,56,177,51,1085,1623,1180,1181,442,3071,2747,42659,150601,-,-,354,278,76,152109,92286,19471,456,95,84,28,48,125,325,973,0,1479,751,728,17,1623,48,168,38,0,38,0,1331,313,14,0,0,14,0,939,172,172,670,Outside Villages,CD,UCUV,78,138,814,338,476,7839013.59373474,13672.4547559586
158,530330071022,19.64092415,0,7102,2,7102.2,Block Group 2,71.02,7,412,Uptown,5Y23,1149,0,0,104,29.7,609,540,655,65,0,312,0,17,48,52,494,759,166,593,413,17,818,1007,338,176,171,244,229,177,150,70,17,26,815,29,0,286,500,46,172,506,52,29,0,0,1149,72,1149,42,1149,339,0,0,0,0,0,0,9,750,292,9,0,1076,1149,356,18,1131,2336,-,106089,124679,106250,77857,467,149,318,212667,105170,98824,792,70,136,9,0,0,56,1045,0,1149,130,1019,12,1149,11,27,28,0,12,9,1062,166,0,0,0,0,0,1045,38,21,1007,Urban Center,CD,UCUV,499,293,1036,571,465,855519.598144531,3945.28599972888
159,530330073033,18.87860405,0,7303,3,7303.3,Block Group 3,73.03,7,312,South Lake Union,5Y23,736,0,0,15,35.5,454,282,538,0,0,159,0,0,39,0,198,515,110,405,295,0,532,672,280,52,47,168,222,129,41,0,0,0,766,0,33,100,633,0,145,177,193,0,0,0,736,0,736,0,736,114,0,0,0,0,0,0,0,515,88,0,0,675,736,224,0,736,3500+,-,156470,214566,159384,72298,472,110,362,-,210486,157591,672,0,0,0,0,0,15,721,0,736,46,690,18,736,46,0,0,0,25,0,665,110,0,0,0,0,0,721,46,0,657,Urban Center,CD,UCUV,421,211,705,454,251,822310.192077637,3845.30885021939
160,530330079021,21.06276852,0,7902,1,7902.1,Block Group 1,79.02,3,131,Madison-Miller,5Y23,1051,25,53,14,33.1,558,493,503,275,0,193,0,0,19,61,548,737,140,597,472,0,604,764,232,250,194,169,47,284,123,19,59,0,752,0,0,305,447,69,188,389,133,27,0,0,998,100,1051,121,1026,257,0,0,0,0,0,0,162,575,214,103,20,927,1051,335,299,752,1937,3222,92840,110355,141250,-,380,123,257,-,-,75563,661,45,75,0,0,51,14,984,0,1026,221,805,24,1051,167,60,0,45,0,0,779,140,0,0,0,0,0,984,213,34,781,Residential Urban Village,CD,UCUV,409,162,825,481,344,917442.796325684,4352.91280964057
161,530330101022,130.6554879,0,10102,2,10102.2,Block Group 2,101.02,2,0,Outside Villages,5Y23,1619,177,394,128,31.9,824,795,978,30,0,125,44,129,94,219,641,557,387,170,77,15,845,990,364,481,73,0,127,296,128,44,31,0,597,506,75,0,16,15,0,27,126,268,109,27,1225,106,1619,58,1442,130,36,0,0,0,0,0,489,68,43,402,87,1128,1619,1251,1438,181,2111,3422,75154,205625,118333,113049,464,338,126,203125,215040,102833,728,34,107,28,93,222,103,1097,0,1225,225,1000,10,1619,17,28,17,24,67,32,1434,387,9,0,9,0,0,1019,36,19,914,Outside Villages,CD,UCUV,388,372,1046,541,505,5691185.51242065,12246.2370993895
162,530330074041,17.70905428,0,7404,1,7404.1,Block Group 1,74.04,3,414,First Hill/Capitol Hill,5Y23,1602,41,51,124,34.9,1050,552,998,46,0,172,0,14,258,114,604,1103,200,903,693,0,1138,1268,314,337,283,431,240,218,392,26,78,0,1120,93,26,722,279,27,183,556,245,52,15,52,1551,342,1602,78,1561,312,94,68,0,41,27,0,298,805,418,232,77,1434,1602,470,487,1115,1794,3357,88382,94492,115556,95332,488,168,320,250000+,75625,79886,1055,130,63,0,20,40,103,1427,0,1551,269,1282,14,1602,75,63,0,46,24,17,1377,200,11,0,11,0,0,1427,117,42,1226,Urban Center,CD,UCUV,512,322,1317,900,417,771364.795440674,3727.20887443751
163,530330080021,12.6866374,0,8002,1,8002.1,Block Group 1,80.02,7,413,Downtown,5Y23,1271,0,0,199,48.5,558,713,675,144,18,301,0,0,71,62,596,901,99,802,693,81,503,757,118,116,243,453,151,280,116,83,0,9,1127,0,37,222,868,62,418,233,230,0,0,20,1251,280,1251,122,1271,266,65,28,0,11,17,0,183,718,239,124,22,1138,1122,207,241,881,-,4001,92303,65550,146188,-,381,73,308,245486,60793,74444,535,158,0,2,42,0,139,1072,149,1271,477,774,37,1271,187,201,16,53,15,92,707,99,0,0,0,0,0,1060,374,67,676,Urban Center,CD,UCUV,218,310,806,417,389,552615.43862915,3673.33305498371
164,530330081022,73.25389617,22.54095291,8102,2,8102.2,Block Group 2,81.02,1,413,Downtown,5Y23,1512,30,76,223,49.5,939,573,740,208,33,201,0,0,151,179,772,644,98,546,500,247,488,515,199,105,76,428,131,86,17,40,42,0,748,0,0,180,568,0,229,228,187,0,0,0,1363,742,1439,87,1482,386,122,38,0,0,38,0,88,556,405,67,54,1426,780,187,124,656,-,4001,58066,41786,158646,138750,239,98,141,237500,41025,0,227,70,198,0,20,34,61,1213,732,1466,829,637,122,1393,295,267,63,64,9,9,686,98,0,0,0,0,0,1140,443,43,480,Urban Center,CD,UCUV,172,155,671,339,332,3186520.48132324,9804.99328449746
165,530330086001,54.8013018,0,8600,1,8600.1,Block Group 1,86,3,414,First Hill/Capitol Hill,5Y23,2299,18,18,169,28.8,1032,1267,1130,163,0,636,0,0,100,270,1169,1038,303,735,465,0,1112,1530,498,363,228,241,272,386,305,69,0,0,1157,86,332,450,289,0,50,464,376,78,32,38,1939,67,2299,0,2281,562,132,60,0,0,0,60,244,794,407,207,0,1413,1882,639,413,1469,2161,3516,80469,112024,-,73542,585,224,361,250000+,99145,58528,1108,238,226,8,0,14,149,2112,417,2281,611,1670,90,1957,168,212,6,0,34,0,1537,303,60,0,60,0,0,1770,320,79,1405,Urban Center,CD,UCUV,494,700,1838,786,1052,2387061.08349609,6848.26798342632
166,530330096001,126.30544476,0,9600,1,9600.1,Block Group 1,96,1,113,Admiral,5Y23,1709,226,359,440,43.2,967,742,1319,94,0,65,2,0,130,99,390,741,479,262,216,76,835,883,383,244,209,93,163,62,83,139,28,25,753,292,86,251,124,0,132,58,188,166,154,43,1297,182,1656,13,1483,124,41,0,0,0,0,0,444,297,183,360,58,1302,1649,1344,1091,558,2284,4001,82568,151131,147734,111771,409,343,56,208142,45968,93348,535,169,179,0,0,250,286,910,60,1367,484,883,0,1656,0,28,0,69,69,15,1475,479,0,0,0,0,0,898,28,26,791,Residential Urban Village,CD,UCUV,340,225,915,512,403,5501686.74198914,10660.6950417887
167,530330002013,97.84458822,0,201,3,201.3,Block Group 3,2.01,5,0,Outside Villages,5Y23,1864,32,198,168,42.3,924,940,902,215,14,116,0,32,80,505,962,889,310,579,414,281,646,1256,177,750,170,18,70,470,424,57,58,0,889,474,11,336,54,0,23,108,284,365,58,51,1666,406,1864,351,1832,713,404,104,104,0,0,0,657,232,155,273,112,1542,1864,1054,1102,762,2271,2852,50183,96732,95645,63523,363,138,193,98300,96189,59402,575,287,125,0,269,130,160,1498,0,1700,304,1396,140,1825,77,119,0,303,0,25,1301,310,21,0,0,0,21,1423,130,62,1135,Outside Villages,CD,UCUV,526,200,1320,694,626,4261798.83990479,9512.29694230629
